logical_file,frame,frame_rows,frame_spacing,depth_min_m,depth_max_m,contains_target_depth,channel,long_name,units,dimension,dtype,shape
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,TDEP,DEPT/,m,[1],float64,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,TENS,TENS/CABLE TENSION,lbs,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,MMRK,MMRK/DEPTH PANEL MAGNETIC MARK,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,MINM,MINM/MINUTE MARK FLAG,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,CS,CS/CABLE SPEED,m/min,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,ETIME,ETIME/TIME FROM LOG BEGIN (MS),mS,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,SPDCOR,SPDCOR/IS SPEED CORRECTION ENABLED?,,[1],int16,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,MMRKT,MMRKT/MAGNETIC MARK TICK,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,STUCK,STUCK/STUCK FLAG,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,DVARC,DVARC/SPEED CORR. DEPTH VAR. CLASS,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,GRU,GRU/UNFILTERED GAMMA,gAPI,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,EMIM,EMIM/XRMI LAST TOOL COMMAND,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,EMIAZ,EMIAZ/XRMI AZIMUTH,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,ACXU,ACXU/ACCELEROMETER X UNFILTERED,G,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,ACYU,ACYU/ACCELEROMETER Y UNFILTERED,G,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,ACZU,ACZU/ACCELEROMETER Z UNFILTERED,G,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,NTEMP,NTEMP/NAVIGATION TEMPERATURE,degF,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,MGXU,MGXU/MAGNETOMETER X UNFILTERED,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,MGYU,MGYU/MAGNETOMETER Y UNFILTERED,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,MGZU,MGZU/MAGNETOMETER Z UNFILTERED,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,EMMR,EMMR/REAL PART PHASOR VOLTAGE,V,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,DLOD,DLOD/DOWNHOLE TENSION (DTDD),lb,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,PLOC,PLOC/PAD LOCATOR (DTDD),deg,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,D4INC,D4INC/D4TG INCLINATION,deg,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,GR,GR/NATURAL GAMMA,gAPI,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,GRCO,GRCO/NATURAL GAMMA CORRECTED,gAPI,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,ACCQ,ACCQ/ACCELEROMETER SUM OF SQUARES,,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,ACCX,ACCX/ACCELEROMETER X-AXIS,G,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,ACCY,ACCY/ACCELEROMETER Y-AXIS,G,[1],float32,[4401]
LogicalFile(GEOLOAD.1),50,4401,-0.1,3873.100097655663,4313.10009765625,True,ACCZ,ACCZ/ACCELEROMETER Z-AXIS,G,[1],float32,[4401]
