TDEP,FACCZ,D4TM,ZACC,ZAC2,DXTM,DXT2,F1B1,F2B1,F3B1,F4B1,F5B1,F6B1,EDD1,EDD2,EDD3,EDD4,EDD5,EDD6,ERD1,ERD2,ERD3,ERD4,ERD5,ERD6
4201.2075976558435,1.8375134,61345.0,0.9949445,0.9949445,26713,26714,395,364,172,363,444,334,73.13438,95.07425,866.1189,96.58248,48.829735,124.68945,93.93637,47.15376,13.809903,51.13556,52.172215,43.20791
4201.205097655843,1.8349597,61362.0,0.9950462,0.9950462,26715,26716,406,366,177,357,445,349,66.98777,93.82376,793.86206,101.52276,48.513935,108.957275,91.291626,46.645008,18.337624,50.682167,50.43674,41.424194
4201.202597655843,1.8398118,61378.0,0.9950462,0.9950462,26717,26718,408,367,173,353,446,364,65.904724,92.84681,840.6148,105.33941,48.055927,95.135284,85.492905,46.11728,24.867834,50.307484,48.58008,40.31088
4201.200097655843,1.8306185,61395.0,0.9953514,0.9953514,26719,26720,405,370,171,346,446,375,67.622795,90.37655,882.178,111.76555,48.120827,86.63254,80.784485,45.93579,32.068497,50.449085,46.622482,39.532703
4201.197597655843,1.8352152,61420.0,0.9950462,0.9950462,26721,26722,417,372,199,344,445,384,61.132298,88.91213,553.671,114.08545,48.464443,80.151245,78.299904,45.452507,34.621643,51.17222,44.719433,37.821083
4201.195097655843,1.8339382,61445.0,0.9950462,0.9950462,26723,26724,418,374,223,343,443,395,60.53571,87.33375,395.61084,115.09619,49.508198,72.893654,75.441025,45.12164,31.253395,51.634792,42.95269,36.995625
4201.192597655843,1.8393011,61462.0,0.994029,0.994029,26725,26726,413,382,254,356,443,413,62.856003,81.871,276.19272,102.83782,49.5254,63.194977,74.22348,44.90844,25.840473,52.12483,40.94016,38.747375
4201.190097655843,1.840578,61478.0,0.99463934,0.99463934,26727,26728,413,387,270,368,441,411,63.13415,78.27741,232.54546,92.578026,50.029545,64.04714,75.04394,44.488026,22.093971,53.431557,39.44353,42.266987
4201.187597655843,1.834449,61495.0,0.99463934,0.99463934,26731,26732,420,391,271,383,439,405,59.774822,75.46198,229.18497,81.12138,50.90511,67.50627,65.135445,43.391262,24.85004,56.296295,36.53929,42.91671
4201.185097655843,1.8393011,61520.0,0.99575824,0.99575824,26733,26734,423,396,283,396,438,397,58.190125,72.43522,201.94734,72.81333,51.549515,72.22855,54.068745,42.908062,29.325682,57.31304,35.281143,43.11162
4201.182597655843,1.8367474,61545.0,0.99575824,0.99575824,26735,26736,418,402,318,407,436,391,60.638626,69.37101,143.91652,66.66515,52.229572,75.721466,47.16437,42.817852,34.25579,57.52082,34.303905,42.22938
4201.1800976558425,1.8336829,61562.0,0.99830127,0.99830127,26737,26738,409,405,384,412,434,384,64.94472,67.119125,80.65114,63.608753,53.08552,79.926445,44.89214,42.817852,39.21971,56.185547,33.309093,38.86371
4201.177597655843,1.8321507,61578.0,0.9988099,0.9988099,26739,26740,400,410,455,413,432,375,70.461555,64.68463,44.832085,63.439327,53.929157,86.31766,45.23398,42.32213,43.555103,54.28464,32.37035,36.15946
4201.175097655843,1.8367474,61595.0,0.99575824,0.99575824,26743,26744,393,412,515,409,430,357,74.704445,63.391277,28.054638,65.23484,54.947926,101.00221,49.04653,42.32213,47.9153,52.936375,31.39978,38.68421
4201.172597655843,1.840578,61612.0,0.99372387,0.99372387,26745,26746,387,419,549,401,429,315,78.09862,59.85418,21.56204,69.58679,55.2247,148.15582,50.434574,43.14178,49.119865,53.834423,31.070972,41.61231
4201.170097655843,1.8352152,61628.0,0.99372387,0.99372387,26747,26748,383,423,582,399,426,314,80.88817,58.241512,16.785013,71.07502,56.471928,149.39856,50.631603,42.562195,50.279987,55.336426,30.616781,41.82008
4201.167597655843,1.8359812,61645.0,0.98863786,0.98863786,26749,26750,381,425,600,395,427,328,82.52577,57.099342,14.547422,73.33646,56.249054,131.7207,49.575233,42.92098,51.664104,55.834057,30.4336,39.775658
4201.165097655843,1.8387903,61662.0,0.98843443,0.98843443,26751,26752,377,429,621,391,428,344,85.492905,55.564888,12.446711,75.78671,55.874184,113.288704,48.611725,43.011623,53.225708,56.185547,30.304089,37.472706
4201.162597655843,1.8352152,61678.0,0.98843443,0.98843443,26753,26754,372,431,637,387,428,357,88.90239,54.586937,11.075311,78.75203,55.547543,101.361465,47.605335,43.40447,54.11422,55.336426,30.124619,36.28848
4201.160097655843,1.8438978,61695.0,0.9901636,0.9901636,26755,26756,366,434,641,388,431,356,93.81283,53.064198,10.741913,77.51325,54.361103,102.23417,46.62452,44.170998,53.991314,54.57509,30.048353,36.57746
